H(003)  0.000000  0.000000  0.250000  0.000000  0.000000  0.000000  
END CYCLE 6

O(001)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
O(002)  0.000000  0.000000  0.200000  0.000000  0.000000  0.000000  
O(003)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
N(001)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
C(001)  0.000000  0.000000  0.000000  0.250000  0.000000  2.500000  
C(003)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
C(002)  0.166667  0.000000  0.000000  0.000000  0.000000  0.000000  
H(03B)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
H(03A)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
H(002)  0.333333  0.000000  0.000000  0.000000  0.000000  0.000000  
H(01A)  0.250000  0.000000  0.000000  0.000000  0.000000  0.000000  
H(01B)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
H(01C)  0.000000  0.200000  0.000000  0.000000  0.250000  0.000000  
H(003)  0.250000  0.000000  0.000000  2.500000  0.000000  0.000000  
END CYCLE 7

O(001)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
O(002)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
O(003)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
N(001)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
C(001)  0.000000  0.000000  0.000000  0.250000  0.000000  0.000000  
C(003)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
C(002)  0.166667  0.000000  0.000000  0.000000  0.000000  0.000000  
H(03B)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
H(03A)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
H(002)  0.333333  0.000000  0.000000  0.000000  0.000000  0.000000  
H(01A)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
H(01B)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
H(01C)  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
H(003)  0.250000  0.000000  0.000000  0.000000  0.000000  0.250000  
END CYCLE 8

